label,message
ham,"Hey, are we meeting at college tomorrow?"
spam,Congratulations! You have won a free lottery ticket. Claim now!
ham,Please bring your notebook to class.
spam,URGENT! You have won 50000 cash. Call now to claim your prize.
ham,Can you send me the assignment file?
spam,Free entry in a weekly competition. Text WIN to 80000 now.
ham,I will reach home by 7 pm.
spam,You have been selected for a FREE gift voucher. Click now.
ham,Happy birthday! Have a great day.
spam,Exclusive offer! Get a free mobile phone today.
ham,Let's meet in the library after lunch.
spam,Congratulations winner! You have received a cash reward.
ham,Don't forget the project presentation tomorrow.
spam,You won a prize! Send your bank details to receive it.
ham,What time is the lecture today?
spam,Claim your FREE vacation package by calling now.
ham,Thanks for helping me with the project.
spam,Limited time offer! Buy now and get a huge discount.
ham,Are you coming to the football match?
spam,You are a lucky winner. Claim your reward immediately.
ham,Please call me when you are free.
spam,Win a brand new car! Reply YES to enter the contest.
ham,The meeting has been moved to 3 pm.
spam,Get cheap loans instantly. Apply now with no paperwork.
ham,Can you share today's notes?
spam,You have won a free shopping voucher. Claim today.
ham,See you tomorrow at college.
spam,Act now! Your account has won a special bonus.
ham,Please submit the report before Friday.
spam,Free prize waiting for you. Click the link to claim now.
